time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.001	1100.000	3685.34	0.0737067	3685.34	9.23	1099.93	1100	nan	1015.9	809.117	3685.34	4420.53	-737.067	0	0	0.999855	0.000144676	0.932485	0.0675154	0	0	1	0	0
0.002	1100.000	4298	0.08596	4298	8.93	1099.91	1100	nan	1015.9	809.117	4298	4420.22	-122.532	0	0	1	0	0.88262	0.11738	0	0	1	0	0
0.003	1100.000	4399.85	0.087997	4399.85	8.76	1099.91	1100	nan	1015.9	809.117	4399.85	4420.17	-20.3705	0	0	1	0	0.846161	0.153839	0	0	1	0	0
0.004	1100.000	4416.78	0.0883356	4416.78	8.64	1099.91	1100	nan	1015.9	809.117	4416.78	4420.16	-3.3865	0	0	0.999711	0.000289352	0.816937	0.183063	0	0	1	0	0
0.005	1100.000	4419.6	0.0883919	4419.6	8.54	1099.91	1100	nan	1015.9	809.117	4419.6	4420.16	-0.562989	0	0	0.999855	0.000144676	0.789255	0.210745	0	0	1	0	0
0.006	1100.000	4420.07	0.0884013	4420.07	8.47	1099.91	1100	nan	1015.9	809.117	4420.07	4420.16	-0.0935944	0	0	0.999421	0.000578704	0.775367	0.224633	0	0	1	0	0
0.007	1100.000	4420.14	0.0884029	4420.14	8.41	1099.91	1100	nan	1015.9	809.117	4420.14	4420.16	-0.0155596	0	0	0.999711	0.000289352	0.763792	0.236208	0	0	1	0	0
0.008	1100.000	4420.16	0.0884031	4420.16	8.35	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-0.00258675	0	0	0.999566	0.000434028	0.747299	0.252701	0	0	1	0	0
0.009	1100.000	4420.16	0.0884032	4420.16	8.31	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-0.000432576	0	0	0.999711	0.000289352	0.741127	0.258873	0	0	1	0	0
0.01	1100.000	4420.16	0.0884032	4420.16	8.26	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-6.98583e-05	0	0	0.999855	0.000144676	0.734375	0.265625	0	0	1	0	0
0.011	1100.000	4420.16	0.0884032	4420.16	8.23	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-1.1305e-05	0	0	0.999566	0.000434028	0.733796	0.266204	0	0	1	0	0
0.012	1100.000	4420.16	0.0884032	4420.16	8.19	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-1.90084e-06	0	0	0.998987	0.00101273	0.731578	0.268422	0	0	1	0	0
0.013	1100.000	4420.16	0.0884032	4420.16	8.16	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-3.84262e-07	0	0	0.999855	0.000144676	0.728106	0.271894	0	0	1	0	0
0.014	1100.000	4420.16	0.0884032	4420.16	8.14	1099.91	1100	nan	1015.9	809.117	4420.16	4420.16	-1.02318e-07	0	0	0.999855	0.000144676	0.72174	0.27826	0	0	1	0	0
